Wl;L (W m-2 ste-1 nm-1);fwhm
261.6;8.12E-10;
261.84;8.19E-10;
262.08;7.77E-10;
262.32;7.53E-10;
262.56;7.33E-10;
262.8;6.73E-10;
263.04;7.06E-10;
263.28;8.02E-10;
263.52;6.88E-10;
263.76;7.90E-10;
264;8.78E-10;
264.24;8.43E-10;
264.48;7.98E-10;
264.72;7.72E-10;
264.96;7.62E-10;
265.2;8.10E-10;
265.44;7.30E-10;
265.68;5.67E-10;
265.92;7.01E-10;
266.16;7.16E-10;
266.4;7.51E-10;
266.64;7.18E-10;
266.88;6.87E-10;
267.12;7.40E-10;
267.36;8.14E-10;
267.6;8.08E-10;
267.84;8.57E-10;
268.08;8.05E-10;
268.32;7.58E-10;
268.56;7.76E-10;
268.8;8.28E-10;
269.04;8.62E-10;
269.28;7.62E-10;
269.52;6.27E-10;
269.76;7.20E-10;
270;9.13E-10;
270.24;9.10E-10;
270.48;7.65E-10;
270.72;7.74E-10;
270.96;6.74E-10;
271.2;5.89E-10;
271.44;5.90E-10;
271.68;6.08E-10;
271.92;6.44E-10;
272.16;7.96E-10;
272.4;7.43E-10;
272.64;7.22E-10;
272.88;7.12E-10;
273.12;7.50E-10;
273.36;7.76E-10;
273.6;7.68E-10;
273.84;7.63E-10;
274.08;7.74E-10;
274.32;8.02E-10;
274.56;8.53E-10;
274.8;6.41E-10;
275.04;6.76E-10;
275.28;7.32E-10;
275.52;8.55E-10;
275.76;8.92E-10;
276;9.01E-10;
276.24;8.99E-10;
276.48;8.55E-10;
276.72;8.06E-10;
276.96;8.02E-10;
277.2;7.53E-10;
277.44;8.20E-10;
277.68;7.75E-10;
277.92;7.63E-10;
278.16;7.34E-10;
278.4;7.30E-10;
278.64;8.17E-10;
278.88;8.81E-10;
279.12;7.35E-10;
279.36;7.27E-10;
279.6;8.52E-10;
279.84;9.61E-10;
280.08;8.87E-10;
280.32;8.58E-10;
280.56;9.28E-10;
280.8;9.04E-10;
281.04;8.05E-10;
281.28;8.41E-10;
281.52;9.30E-10;
281.76;8.45E-10;
282;8.49E-10;
282.24;7.87E-10;
282.48;7.22E-10;
282.72;7.41E-10;
282.96;7.87E-10;
283.2;8.03E-10;
283.44;8.10E-10;
283.68;8.33E-10;
283.92;8.29E-10;
284.16;9.65E-10;
284.4;9.39E-10;
284.64;8.01E-10;
284.88;7.50E-10;
285.12;7.70E-10;
285.36;8.33E-10;
285.6;8.71E-10;
285.84;8.41E-10;
286.08;8.15E-10;
286.32;8.77E-10;
286.56;7.44E-10;
286.8;6.75E-10;
287.04;8.55E-10;
287.28;7.97E-10;
287.52;7.71E-10;
287.76;8.06E-10;
288;8.59E-10;
288.24;8.90E-10;
288.48;8.21E-10;
288.72;8.03E-10;
288.96;7.52E-10;
289.2;7.45E-10;
289.44;7.21E-10;
289.68;7.83E-10;
289.92;7.68E-10;
290.16;7.15E-10;
290.4;7.25E-10;
290.64;7.80E-10;
290.88;8.10E-10;
291.12;8.63E-10;
291.36;8.65E-10;
291.6;7.41E-10;
291.84;7.35E-10;
292.08;8.33E-10;
292.32;8.52E-10;
292.56;8.59E-10;
292.8;8.62E-10;
293.04;7.67E-10;
293.28;6.99E-10;
293.52;7.33E-10;
293.76;7.71E-10;
294;7.79E-10;
294.24;7.81E-10;
294.48;8.28E-10;
294.72;8.38E-10;
294.96;8.34E-10;
295.2;9.27E-10;
295.44;1.07E-09;
295.68;1.03E-09;
295.92;1.03E-09;
296.16;1.05E-09;
296.4;1.06E-09;
296.64;9.84E-10;
296.88;9.77E-10;
297.12;9.33E-10;
297.36;8.33E-10;
297.6;8.30E-10;
297.84;9.55E-10;
298.08;9.24E-10;
298.32;8.61E-10;
298.56;9.02E-10;
298.8;8.76E-10;
299.04;1.01E-09;
299.28;1.03E-09;
299.52;9.66E-10;
299.76;9.70E-10;
300;1.01E-09;
300.24;9.68E-10;
300.48;1.01E-09;
300.72;1.08E-09;
300.96;1.02E-09;
301.2;1.07E-09;
301.44;9.83E-10;
301.68;9.52E-10;
301.92;9.44E-10;
302.16;8.91E-10;
302.4;8.48E-10;
302.64;8.67E-10;
302.88;8.58E-10;
303.12;1.01E-09;
303.36;9.74E-10;
303.6;9.04E-10;
303.84;9.24E-10;
304.08;9.66E-10;
304.32;1.05E-09;
304.56;1.09E-09;
304.8;1.05E-09;
305.04;1.02E-09;
305.28;9.78E-10;
305.52;9.90E-10;
