wl (nm); Emeas; Emod_sc - Retrieved values (SS =  1.939 nm, FWHM = 10.036 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
372.00000; 0.00027174595; 0.00025927553; 0.00024713532
373.00000; 0.00026847161; 0.00024795465; 0.00024589573
374.00000; 0.00026479175; 0.00024273321; 0.00024458171
375.00000; 0.00026080066; 0.00024863170; 0.00024346163
376.00000; 0.00025566352; 0.00026392388; 0.00024263846
377.00000; 0.00025064360; 0.00028041490; 0.00024202242
378.00000; 0.00024595147; 0.00028829430; 0.00024133926
379.00000; 0.00024064720; 0.00028412521; 0.00024025369
380.00000; 0.00023525073; 0.00027210705; 0.00023847087
381.00000; 0.00023028051; 0.00025512826; 0.00023586627
382.00000; 0.00022380451; 0.00023567998; 0.00023256227
383.00000; 0.00022236828; 0.00022238222; 0.00022893013
384.00000; 0.00022182756; 0.00022156607; 0.00022551394
385.00000; 0.00022156607; 0.00022832234; 0.00022289901
386.00000; 0.00022192285; 0.00023505741; 0.00022156607
387.00000; 0.00022300773; 0.00024133916; 0.00022176636
388.00000; 0.00022443954; 0.00025232202; 0.00022349777
389.00000; 0.00022713154; 0.00026975765; 0.00022652364
390.00000; 0.00022985566; 0.00028562769; 0.00023046583
391.00000; 0.00023254555; 0.00028674627; 0.00023495371
392.00000; 0.00023590718; 0.00027002214; 0.00023976459
393.00000; 0.00024048080; 0.00025167570; 0.00024491653
394.00000; 0.00024731975; 0.00024943942; 0.00025068138
395.00000; 0.00025688297; 0.00025857050; 0.00025750909
396.00000; 0.00026759920; 0.00026715824; 0.00026588282
397.00000; 0.00028174935; 0.00028262117; 0.00027603503
398.00000; 0.00029658886; 0.00031415298; 0.00028823444
399.00000; 0.00031186417; 0.00035020320; 0.00030210121
400.00000; 0.00032813602; 0.00037472718; 0.00031702031
401.00000; 0.00034308591; 0.00038542352; 0.00033216377
402.00000; 0.00035607690; 0.00038766010; 0.00034666126
403.00000; 0.00036774608; 0.00038571089; 0.00035977520
404.00000; 0.00037786176; 0.00038213695; 0.00037103238
405.00000; 0.00038329814; 0.00037876549; 0.00038028012
406.00000; 0.00038766010; 0.00037719234; 0.00038766010
