WaveLenght (nm);Total Irradiance fwhm 0.13 (W/cm2 nm);Fwhm (nm)
352.49;3.49E-05
352.5;3.13E-05
352.51;2.70E-05
352.52;2.32E-05
352.53;2.08E-05
352.54;2.02E-05
352.55;2.18E-05
352.56;2.60E-05
352.57;3.26E-05
352.58;4.08E-05
352.59;4.96E-05
352.6;5.82E-05
352.61;6.58E-05
352.62;7.13E-05
352.63;7.43E-05
352.64;7.43E-05
352.65;7.12E-05
352.66;6.53E-05
352.67;5.72E-05
352.68;4.79E-05
352.69;3.84E-05
352.7;3.00E-05
352.71;2.32E-05
352.72;1.85E-05
352.73;1.60E-05
352.74;1.59E-05
352.75;1.82E-05
352.76;2.28E-05
352.77;2.92E-05
352.78;3.69E-05
352.79;4.56E-05
352.8;5.44E-05
352.81;6.19E-05
352.82;6.66E-05
352.83;6.77E-05
352.84;6.58E-05
352.85;6.21E-05
352.86;5.73E-05
352.87;5.23E-05
352.88;4.89E-05
352.89;4.87E-05
352.9;5.20E-05
352.91;5.75E-05
352.92;6.40E-05
352.93;7.06E-05
352.94;7.65E-05
352.95;8.03E-05
352.96;8.19E-05
352.97;8.18E-05
352.98;8.05E-05
352.99;7.86E-05
353;7.68E-05
353.01;7.50E-05
353.02;7.29E-05
353.03;7.01E-05
353.04;6.66E-05
353.05;6.34E-05
353.06;6.09E-05
353.07;5.96E-05
353.08;5.96E-05
353.09;6.10E-05
353.1;6.31E-05
353.11;6.50E-05
353.12;6.60E-05
353.13;6.59E-05
353.14;6.53E-05
353.15;6.50E-05
353.16;6.58E-05
353.17;6.76E-05
353.18;7.02E-05
353.19;7.32E-05
353.2;7.63E-05
353.21;7.83E-05
353.22;7.83E-05
353.23;7.61E-05
353.24;7.24E-05
353.25;6.80E-05
353.26;6.35E-05
353.27;5.98E-05
353.28;5.76E-05
353.29;5.77E-05
353.3;6.00E-05
353.31;6.39E-05
353.32;6.83E-05
353.33;7.20E-05
353.34;7.38E-05
353.35;7.30E-05
353.36;6.95E-05
353.37;6.37E-05
353.38;5.66E-05
353.39;4.94E-05
353.4;4.37E-05
353.41;4.09E-05
353.42;4.13E-05
353.43;4.48E-05
353.44;5.07E-05
353.45;5.82E-05
353.46;6.63E-05
353.47;7.40E-05
353.48;8.05E-05
353.49;8.52E-05
353.5;8.80E-05
353.51;8.87E-05
353.52;8.73E-05
353.53;8.36E-05
353.54;7.78E-05
353.55;7.10E-05
353.56;6.48E-05
353.57;5.98E-05
353.58;5.59E-05
353.59;5.36E-05
353.6;5.33E-05
353.61;5.46E-05
353.62;5.61E-05
353.63;5.74E-05
353.64;5.84E-05
353.65;5.97E-05
353.66;6.10E-05
353.67;6.22E-05
353.68;6.31E-05
353.69;6.31E-05
353.7;6.16E-05
353.71;5.91E-05
353.72;5.59E-05
353.73;5.23E-05
353.74;4.90E-05
353.75;4.73E-05
353.76;4.82E-05
353.77;5.13E-05
353.78;5.56E-05
353.79;6.00E-05
353.8;6.37E-05
353.81;6.59E-05
353.82;6.56E-05
353.83;6.31E-05
353.84;5.89E-05
353.85;5.43E-05
353.86;5.00E-05
353.87;4.65E-05
353.88;4.44E-05
353.89;4.42E-05
353.9;4.55E-05
353.91;4.78E-05
353.92;5.09E-05
353.93;5.47E-05
353.94;5.92E-05
353.95;6.37E-05
353.96;6.83E-05
353.97;7.31E-05
353.98;7.78E-05
353.99;8.23E-05
354;8.62E-05
354.01;8.92E-05
354.02;9.11E-05
354.03;9.17E-05
354.04;9.06E-05
354.05;8.81E-05
354.06;8.45E-05
354.07;8.02E-05
354.08;7.62E-05
354.09;7.32E-05
354.1;7.12E-05
354.11;7.02E-05
354.12;7.01E-05
354.14;7.04E-05
354.15;7.02E-05
354.16;6.84E-05
354.17;6.55E-05
354.18;6.25E-05
354.19;6.02E-05
354.2;5.86E-05
354.21;5.82E-05
354.22;6.01E-05
354.23;6.38E-05
354.24;6.77E-05
354.25;6.99E-05
354.26;6.98E-05
354.27;6.75E-05
354.28;6.31E-05
354.29;5.71E-05
354.3;5.08E-05
354.31;4.58E-05
354.32;4.35E-05
354.33;4.41E-05
354.34;4.72E-05
354.35;5.19E-05
354.36;5.73E-05
354.37;6.29E-05
354.38;6.80E-05
354.39;7.20E-05
354.4;7.47E-05
354.41;7.64E-05
354.42;7.73E-05
354.43;7.74E-05
354.44;7.70E-05
354.45;7.69E-05
354.46;7.72E-05
354.47;7.80E-05
354.48;7.97E-05
354.49;8.22E-05
354.5;8.45E-05
354.51;8.58E-05
354.52;8.61E-05
354.53;8.57E-05
354.54;8.43E-05
354.55;8.17E-05
354.56;7.85E-05
354.57;7.60E-05
354.58;7.45E-05
354.59;7.35E-05
354.6;7.25E-05
354.61;7.13E-05
354.62;7.01E-05
354.63;6.87E-05
354.64;6.69E-05
354.65;6.49E-05
354.66;6.31E-05
354.67;6.22E-05
354.68;6.28E-05
354.69;6.50E-05
354.7;6.82E-05
354.71;7.16E-05
354.72;7.45E-05
354.73;7.69E-05
354.74;7.87E-05
354.75;7.94E-05
354.76;7.83E-05
354.77;7.61E-05
354.78;7.40E-05
354.79;7.25E-05
354.8;7.12E-05
354.81;6.97E-05
354.82;6.83E-05
354.83;6.71E-05
354.84;6.54E-05
354.85;6.22E-05
354.86;5.72E-05
354.87;5.11E-05
354.88;4.47E-05
354.89;3.91E-05
354.9;3.51E-05
354.91;3.39E-05
354.92;3.59E-05
354.93;4.06E-05
354.94;4.68E-05
354.95;5.36E-05
354.96;5.98E-05
354.97;6.46E-05
354.98;6.73E-05
354.99;6.84E-05
355;6.88E-05
355.01;6.96E-05
355.02;7.07E-05
355.03;7.18E-05
355.04;7.29E-05
355.05;7.41E-05
355.06;7.51E-05
355.07;7.52E-05
355.08;7.45E-05
355.09;7.39E-05
355.1;7.39E-05
355.11;7.43E-05
355.12;7.48E-05
355.13;7.58E-05
355.14;7.70E-05
355.15;7.80E-05
355.16;7.84E-05
355.17;7.88E-05
355.18;7.94E-05
355.19;7.98E-05
355.2;7.92E-05
355.21;7.79E-05
355.22;7.67E-05
355.23;7.56E-05
355.24;7.41E-05
355.25;7.22E-05
355.26;7.06E-05
355.27;7.00E-05
355.28;7.00E-05
355.29;7.00E-05
355.3;7.02E-05
355.31;7.10E-05
355.32;7.19E-05
355.33;7.20E-05
355.34;7.08E-05
355.35;6.86E-05
355.36;6.57E-05
355.37;6.22E-05
355.38;5.87E-05
355.39;5.60E-05
355.4;5.42E-05
355.41;5.32E-05
355.42;5.23E-05
355.43;5.13E-05
355.44;5.05E-05
355.45;5.01E-05
355.46;5.00E-05
355.47;5.04E-05
355.48;5.19E-05
355.49;5.38E-05
355.5;5.52E-05
355.51;5.55E-05
355.52;5.45E-05
355.53;5.25E-05
355.54;4.92E-05
355.55;4.51E-05
355.56;4.13E-05
355.57;3.88E-05
355.58;3.79E-05
355.59;3.85E-05
355.6;4.10E-05
355.61;4.57E-05
355.62;5.21E-05
355.63;5.89E-05
355.64;6.54E-05
355.65;7.15E-05
355.66;7.69E-05
355.67;8.09E-05
355.68;8.33E-05
355.69;8.42E-05
355.7;8.39E-05
355.71;8.19E-05
355.72;7.78E-05
355.73;7.20E-05
355.74;6.50E-05
355.75;5.76E-05
355.76;5.09E-05
355.77;4.62E-05
355.78;4.47E-05
355.79;4.69E-05
355.8;5.24E-05
355.81;6.06E-05
355.82;6.98E-05
355.83;7.89E-05
355.84;8.67E-05
355.85;9.23E-05
355.86;9.55E-05
355.87;9.64E-05
355.88;9.50E-05
355.89;9.16E-05
355.9;8.62E-05
355.91;7.93E-05
355.92;7.16E-05
