wl;reflectance
699;0.869402588
700;0.869355411
701;0.869331952
702;0.869236989
703;0.869170585
704;0.869068597
705;0.868997247
706;0.868918424
707;0.868799303
708;0.8686837
709;0.868576561
710;0.86853626
711;0.868460503
712;0.868413485
713;0.868368979
714;0.868327863
715;0.868246465
716;0.868124592
717;0.867988463
718;0.867876026
719;0.867761185
720;0.867641963
721;0.867494371
722;0.867354254
723;0.867268905
724;0.86715222
725;0.867101186
726;0.867038724
727;0.866876782
728;0.866748374
729;0.86661658
730;0.866492028
731;0.866403927
732;0.866286273
733;0.866167099
734;0.866045417
735;0.865930129
736;0.865855148
737;0.865786407
738;0.865722915
739;0.865650822
740;0.865546995
741;0.865476342
742;0.86533627
743;0.865222337
744;0.865111721
745;0.865044995
746;0.864952605
747;0.86485539
748;0.864788323
749;0.86475524
750;0.864691206
751;0.864598323
752;0.864481428
753;0.864403457
754;0.864324498
755;0.864237629
756;0.864174767
757;0.864069272
758;0.863965642
759;0.863862132
760;0.86375368
761;0.86365105
762;0.863586321
763;0.863522407
764;0.863430434
765;0.863337472
766;0.86320465
767;0.863066831
768;0.86299075
769;0.862881797
770;0.862738993
771;0.862636732
772;0.862543308
773;0.862449996
774;0.862361506
775;0.862303881
776;0.862228508
777;0.862143184
778;0.862018044
779;0.861895636
780;0.86178498
781;0.861684097
782;0.861546391
783;0.861411542
784;0.861285411
785;0.861162296
786;0.861073777
787;0.861006308
788;0.860907094
789;0.860813812
790;0.860692877
791;0.860635433
792;0.860565206
793;0.860491019
794;0.860365979
795;0.860237896
796;0.860133608
797;0.859990697
798;0.859855706
799;0.859764515
800;0.859686179
801;0.859616741
802;0.859537652
803;0.859481425
804;0.859394631
805;0.859287076
806;0.859218114
807;0.859138513
808;0.859049021
809;0.85898732
810;0.858894204
811;0.858844484
812;0.858802693
813;0.858700265
814;0.858609731
815;0.858531089
816;0.85836624
817;0.858256217
818;0.858150495
819;0.858081682
820;0.858009395
821;0.857930547
822;0.857850083
823;0.857747176
824;0.85767724
825;0.857647929
826;0.857626898
827;0.857604242
828;0.857512718
829;0.857398776
830;0.857325695
831;0.85725188
832;0.857167795
833;0.857070591
834;0.856959044
835;0.856895526
836;0.856840528
837;0.856810746
838;0.856754973
839;0.856651079
840;0.856568341
841;0.85654349
842;0.856475843
843;0.856450486
844;0.856392359
845;0.856362795
846;0.856328033
847;0.856286094
848;0.856181724
849;0.856117659
850;0.855994392
851;0.85593936
852;0.855863571
853;0.85577319
854;0.85575102
855;0.855709324
856;0.855719125
857;0.855724239
858;0.855726653
859;0.855722635
860;0.855681548
861;0.855690092
862;0.855628351
863;0.85559476
864;0.85563077
865;0.85560145
866;0.855555987
867;0.85550818
868;0.855416916
869;0.855329382
870;0.855345039
871;0.855339848
872;0.855299825
873;0.855282364
874;0.855250173
875;0.855216001
876;0.855186565
877;0.85507839
878;0.854945617
879;0.854778698
880;0.854726006
881;0.854690066
882;0.854622788
883;0.854589575
884;0.854523205
885;0.85441615
886;0.854299582
887;0.854213216
888;0.854155094
889;0.854073101
890;0.854007402
891;0.85398176
892;0.85395177
893;0.853968659
894;0.853942137
895;0.853902361
896;0.853895697
897;0.85389165
898;0.853888498
899;0.853828794
900;0.853699035
901;0.853717583
902;0.853637584
903;0.853693345
904;0.853776585
905;0.853781529
906;0.853784372
907;0.853762578
908;0.853756763
909;0.853782747
910;0.85380985
911;0.853792951
912;0.853821551
913;0.853915309
914;0.853935807
915;0.853970571
916;0.853966379
917;0.853913216
918;0.853944257
919;0.854005341
920;0.854117
921;0.85415613
922;0.85423393
923;0.854278878
924;0.854310508
925;0.85426993
926;0.854262079
927;0.854296001
928;0.854311725
929;0.854282078
930;0.854361117
931;0.854451755
932;0.854534086
933;0.854569905
934;0.854551574
935;0.854610972
936;0.85467718
937;0.854732214
938;0.854705788
939;0.85474326
940;0.854814429
941;0.854829315
942;0.854845906
943;0.854878646
944;0.854874864
945;0.85486222
946;0.854822855
947;0.854804737
948;0.85484597
949;0.854834062
950;0.854751997
951;0.85472781
952;0.854763225
953;0.854762869
954;0.854701613
955;0.854609887
956;0.85449115
957;0.854453627
958;0.854439311
959;0.854452351
960;0.854383679
961;0.854273047
962;0.854222993
963;0.854148234
964;0.854039613
965;0.853871792
966;0.853785917
967;0.853693998
968;0.853592812
969;0.853544113
970;0.853539174
971;0.853561234
972;0.853494209
973;0.853399576
974;0.853293105
975;0.853165754
976;0.853043228
977;0.852921901
978;0.852785297
979;0.852665924
980;0.852548065
981;0.852460072
982;0.852358549
983;0.852314612
984;0.852307839
985;0.852337978
986;0.852321422
987;0.852219954
988;0.852129593
989;0.852033136
990;0.851960632
991;0.851920389
992;0.851800988
993;0.851753546
994;0.851744467
995;0.851758526
996;0.85175796
997;0.851749481
998;0.851750486
999;0.85169799
1000;0.851698733
1001;0.851678097
1002;0.851667759
1003;0.851711321
1004;0.85161401
1005;0.851416597
1006;0.851350167
1007;0.851159699
1008;0.850966212
1009;0.850988601
1010;0.851021928
1011;0.851028028
1012;0.850997323
1013;0.851000404
1014;0.850994843
1015;0.850934402
1016;0.850889592
1017;0.850916496
1018;0.850959976
1019;0.851001824
1020;0.850911571
1021;0.850738003
1022;0.850580067
1023;0.850508506
1024;0.850490313
1025;0.850559824
1026;0.850631114
1027;0.850716597
1028;0.850877904
1029;0.851010221
1030;0.851122527
1031;0.85124997
1032;0.851303476
1033;0.851422337
1034;0.851546687
1035;0.851617027
1036;0.851661988
1037;0.851754489
1038;0.851880352
1039;0.8519537
1040;0.852115619
1041;0.852145168
1042;0.852158389
1043;0.852214513
1044;0.852277418
1045;0.852337059
1046;0.852364648
1047;0.85236751
1048;0.85246062
1049;0.852519521
1050;0.852561918
