wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.187 nm, FWHM =  3.896 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
706.00000; 1.0953473; 1.0904321; 1.0954524
707.00000; 1.0994245; 1.0941103; 1.0993991
708.00000; 1.1019903; 1.0982745; 1.1022655
709.00000; 1.1029255; 1.1016084; 1.1029255
710.00000; 1.1026114; 1.1029255; 1.1005611
711.00000; 1.0964314; 1.1013817; 1.0942285
712.00000; 1.0843644; 1.0965731; 1.0812955
713.00000; 1.0625829; 1.0871940; 1.0551939
714.00000; 1.0151255; 1.0675880; 1.0085588
715.00000; 0.95709606; 1.0282321; 0.94158188
716.00000; 0.88382247; 0.96385963; 0.86983523
717.00000; 0.83538158; 0.88699750; 0.81865749
718.00000; 0.80633902; 0.82640582; 0.80633902
719.00000; 0.83926778; 0.80633902; 0.83055729
720.00000; 0.87142028; 0.83008953; 0.86727631
721.00000; 0.89782052; 0.87475700; 0.88722889
722.00000; 0.88725152; 0.90290011; 0.88074487
723.00000; 0.86663321; 0.89681888; 0.86164672
724.00000; 0.85438857; 0.87320179; 0.84750291
725.00000; 0.85119979; 0.85633410; 0.84329243
726.00000; 0.85559465; 0.85230774; 0.84490598
727.00000; 0.86088250; 0.85438491; 0.84921655
728.00000; 0.86999534; 0.85771323; 0.85778422
729.00000; 0.88651682; 0.86365654; 0.87473764
730.00000; 0.91597574; 0.87700005; 0.90251750
731.00000; 0.95000474; 0.90209546; 0.93759984
732.00000; 0.98401260; 0.93749242; 0.97025843
733.00000; 1.0057286; 0.97309876; 0.99259943
734.00000; 1.0165820; 0.99708858; 1.0033678
735.00000; 1.0195109; 1.0073627; 1.0082863
736.00000; 1.0228792; 1.0108491; 1.0124606
737.00000; 1.0282074; 1.0146069; 1.0169000
738.00000; 1.0335628; 1.0191412; 1.0212042
739.00000; 1.0394592; 1.0231494; 1.0258744
740.00000; 1.0480263; 1.0271632; 1.0320372
741.00000; 1.0563299; 1.0323950; 1.0401807
742.00000; 1.0644118; 1.0401723; 1.0488010
743.00000; 1.0688692; 1.0493619; 1.0555340
744.00000; 1.0721216; 1.0564836; 1.0597869
