wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.692 nm, FWHM =  5.260 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
579.00000; 1.2981384; 1.2897309; 1.2979537
580.00000; 1.3024327; 1.2953256; 1.3000423
581.00000; 1.3074323; 1.3036303; 1.3046456
582.00000; 1.3114068; 1.3105172; 1.3094747
583.00000; 1.3107266; 1.3114068; 1.3114068
584.00000; 1.3045867; 1.3036818; 1.3079942
585.00000; 1.2948037; 1.2905268; 1.2983843
586.00000; 1.2779698; 1.2772069; 1.2832069
587.00000; 1.2596077; 1.2610134; 1.2639977
588.00000; 1.2390289; 1.2368500; 1.2434260
589.00000; 1.2254587; 1.2164830; 1.2259228
590.00000; 1.2164830; 1.2176574; 1.2164830
591.00000; 1.2200334; 1.2356062; 1.2173031
592.00000; 1.2264968; 1.2518937; 1.2259175
593.00000; 1.2351406; 1.2595873; 1.2369432
594.00000; 1.2402324; 1.2621371; 1.2457326
595.00000; 1.2446567; 1.2625261; 1.2503068
596.00000; 1.2480030; 1.2610363; 1.2506275
597.00000; 1.2515827; 1.2565655; 1.2472012
598.00000; 1.2549671; 1.2490446; 1.2405615
599.00000; 1.2575533; 1.2396092; 1.2315748
