wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.102 nm, FWHM =  7.604 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
915.00000; 0.51085012; 0.48452514; 0.49410647
916.00000; 0.51887249; 0.48809261; 0.49957983
917.00000; 0.52865429; 0.49862450; 0.50767919
918.00000; 0.53965711; 0.51892595; 0.51741378
919.00000; 0.55059194; 0.54495053; 0.52726459
920.00000; 0.56154347; 0.56410496; 0.53547036
921.00000; 0.56676256; 0.56894178; 0.54036563
922.00000; 0.56528769; 0.56357914; 0.54059439
923.00000; 0.55320686; 0.55510991; 0.53520805
924.00000; 0.53436204; 0.54781372; 0.52328120
925.00000; 0.51150224; 0.54146313; 0.50417159
926.00000; 0.48016686; 0.52690034; 0.47750724
927.00000; 0.44442545; 0.49250810; 0.44352023
928.00000; 0.40510655; 0.43881582; 0.40335740
929.00000; 0.35811524; 0.37845658; 0.35918800
930.00000; 0.31032729; 0.32079786; 0.31400562
931.00000; 0.26232768; 0.26760776; 0.27117508
932.00000; 0.22714151; 0.22185506; 0.23387862
933.00000; 0.19816700; 0.18991569; 0.20461613
934.00000; 0.18346603; 0.17525531; 0.18500565
935.00000; 0.17581444; 0.17365050; 0.17491714
936.00000; 0.17365050; 0.17941604; 0.17365050
937.00000; 0.18240178; 0.19488358; 0.17918351
938.00000; 0.19248603; 0.22495234; 0.18875228
939.00000; 0.20418033; 0.25960542; 0.19937371
940.00000; 0.21408998; 0.27918084; 0.20847886
941.00000; 0.22260148; 0.27778886; 0.21447000
942.00000; 0.22605905; 0.26465207; 0.21698879
943.00000; 0.22624515; 0.24972612; 0.21678081
944.00000; 0.22362962; 0.23916920; 0.21524321
945.00000; 0.21618744; 0.23511670; 0.21376200
946.00000; 0.21227969; 0.23705441; 0.21336574
947.00000; 0.21570214; 0.24317016; 0.21446180
948.00000; 0.21712869; 0.25051584; 0.21692135
949.00000; 0.21872669; 0.25675770; 0.22032171
950.00000; 0.22546640; 0.26168162; 0.22422337
951.00000; 0.23216963; 0.26409677; 0.22837079
952.00000; 0.23890069; 0.26431255; 0.23276511
953.00000; 0.24416028; 0.26620448; 0.23761164
954.00000; 0.24943029; 0.26950758; 0.24313270
955.00000; 0.25476161; 0.27363682; 0.24966709
956.00000; 0.26053980; 0.28328560; 0.25726861
957.00000; 0.26698553; 0.29724607; 0.26593463
958.00000; 0.27636213; 0.30613631; 0.27563421
959.00000; 0.28716015; 0.30967939; 0.28639534
960.00000; 0.29934316; 0.31747931; 0.29834991
961.00000; 0.31187442; 0.33163452; 0.31172841
962.00000; 0.32647484; 0.34722478; 0.32682109
963.00000; 0.34527616; 0.36162180; 0.34391062
964.00000; 0.36267895; 0.37398742; 0.36294766
965.00000; 0.38023395; 0.38787760; 0.38415222
966.00000; 0.40177945; 0.41176478; 0.40664890
967.00000; 0.41858510; 0.44842977; 0.42911510
968.00000; 0.43061823; 0.48660446; 0.44974792
969.00000; 0.44844975; 0.51305063; 0.46668752
970.00000; 0.46510369; 0.52475729; 0.47858453
971.00000; 0.47700568; 0.52319647; 0.48507400
972.00000; 0.48492384; 0.50944020; 0.48693858
973.00000; 0.49113271; 0.48945550; 0.48588266
974.00000; 0.49713629; 0.47397525; 0.48401583
975.00000; 0.50097748; 0.47017990; 0.48326366
976.00000; 0.50256308; 0.47757855; 0.48492209
977.00000; 0.50406000; 0.48925848; 0.48957346
978.00000; 0.50671212; 0.49821275; 0.49712871
979.00000; 0.51260816; 0.50663511; 0.50707749
980.00000; 0.52224145; 0.52052839; 0.51872000
981.00000; 0.53366826; 0.53767557; 0.53132747
982.00000; 0.54444637; 0.55193730; 0.54422876
983.00000; 0.55517107; 0.56298042; 0.55685153
984.00000; 0.56588324; 0.57366970; 0.56873916
985.00000; 0.57846150; 0.58477520; 0.57945369
986.00000; 0.58961157; 0.59499683; 0.58899750
987.00000; 0.59574218; 0.60232692; 0.59716307
988.00000; 0.60252262; 0.60680389; 0.60397870
989.00000; 0.60957801; 0.60957801; 0.60957801
