wl (nm); Emeas; Emod_sc - Retrieved values (SS =  1.886 nm, FWHM =  8.984 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  1.886 nm, FWHM =  8.984 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
400.00000; 0.78001393; 0.78001393; 0.78001393; 1.0000000; 1.0000000
401.00000; 0.81456008; 0.85410137; 0.81703557; 0.99697015; 0.95370422
402.00000; 0.84546933; 0.86959289; 0.85176879; 0.99260426; 0.97225880
403.00000; 0.87359551; 0.85609185; 0.88199417; 0.99047764; 1.0204460
404.00000; 0.89865529; 0.83133720; 0.90650819; 0.99133720; 1.0809757
405.00000; 0.91049993; 0.80798502; 0.92524234; 0.98406643; 1.1268772
406.00000; 0.92155613; 0.79708870; 0.93907101; 0.98134872; 1.1561525
407.00000; 0.93207546; 0.81228074; 0.94941091; 0.98174083; 1.1474795
408.00000; 0.93966443; 0.85358716; 0.95768438; 0.98118383; 1.1008418
409.00000; 0.94753343; 0.89656940; 0.96525829; 0.98163719; 1.0568434
410.00000; 0.95608784; 0.93075146; 0.97275015; 0.98287092; 1.0272214
411.00000; 0.96571593; 0.96546461; 0.98033329; 0.98508939; 1.0002603
412.00000; 0.97548129; 0.98943708; 0.98775363; 0.98757551; 0.98589523
413.00000; 0.98187384; 0.99185973; 0.99450886; 0.98729522; 0.98993216
414.00000; 0.98875062; 0.99289457; 1.0000341; 0.98871691; 0.99582640
415.00000; 0.99602804; 1.0044647; 1.0038495; 0.99220850; 0.99160084
416.00000; 1.0006212; 1.0056515; 1.0056515; 0.99499792; 0.99499792
417.00000; 1.0040431; 0.97825549; 1.0053501; 0.99869997; 1.0263609
418.00000; 1.0050085; 0.93425683; 1.0030896; 1.0019130; 1.0757304
419.00000; 1.0053345; 0.90002571; 0.99908475; 1.0062555; 1.1170064
420.00000; 1.0056515; 0.89048270; 0.99368057; 1.0120471; 1.1293330
