wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.580 nm, FWHM =  6.632 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  0.580 nm, FWHM =  6.632 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
579.00000; 1.2981384; 1.2897309; 1.3067466; 0.99341253; 1.0065189
580.00000; 1.3024327; 1.2953256; 1.3078999; 0.99581989; 1.0054868
581.00000; 1.3074323; 1.3036303; 1.3100462; 0.99800474; 1.0029165
582.00000; 1.3114068; 1.3105172; 1.3114068; 1.0000000; 1.0006788
583.00000; 1.3107266; 1.3114068; 1.3098650; 1.0006578; 0.99948138
584.00000; 1.3045867; 1.3036818; 1.3037645; 1.0006306; 1.0006941
585.00000; 1.2948037; 1.2905268; 1.2924573; 1.0018155; 1.0033141
586.00000; 1.2779698; 1.2772069; 1.2765961; 1.0010760; 1.0005973
587.00000; 1.2596077; 1.2610134; 1.2581485; 1.0011598; 0.99888526
588.00000; 1.2390289; 1.2368500; 1.2401053; 0.99913206; 1.0017617
589.00000; 1.2254587; 1.2164830; 1.2257705; 0.99974563; 1.0073785
590.00000; 1.2164830; 1.2176574; 1.2176669; 0.99902767; 0.99903548
591.00000; 1.2200334; 1.2356062; 1.2164830; 1.0029186; 0.98739663
592.00000; 1.2264968; 1.2518937; 1.2207983; 1.0046679; 0.97971329
593.00000; 1.2351406; 1.2595873; 1.2278088; 1.0059715; 0.98059150
594.00000; 1.2402324; 1.2621371; 1.2344461; 1.0046873; 0.98264476
595.00000; 1.2446567; 1.2625261; 1.2384503; 1.0050115; 0.98584634
596.00000; 1.2480030; 1.2610363; 1.2387447; 1.0074739; 0.98966458
597.00000; 1.2515827; 1.2565655; 1.2352946; 1.0131856; 0.99603454
598.00000; 1.2549671; 1.2490446; 1.2288299; 1.0212701; 1.0047417
599.00000; 1.2575533; 1.2396092; 1.2206473; 1.0302347; 1.0144756
