wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.457 nm, FWHM =  6.202 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  0.457 nm, FWHM =  6.202 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
506.00000; 1.3279990; 1.3364299; 1.3312086; 0.99758889; 0.99369145
507.00000; 1.3322655; 1.3358665; 1.3345915; 0.99825714; 0.99730436
508.00000; 1.3361172; 1.3335695; 1.3363326; 0.99983879; 1.0019104
509.00000; 1.3364299; 1.3336330; 1.3364299; 1.0000000; 1.0020972
510.00000; 1.3350724; 1.3349519; 1.3348322; 1.0001800; 1.0000903
511.00000; 1.3306493; 1.3340988; 1.3311861; 0.99959668; 0.99741433
512.00000; 1.3219870; 1.3288490; 1.3249733; 0.99774608; 0.99483612
513.00000; 1.3117290; 1.3199256; 1.3158688; 0.99685395; 0.99379013
514.00000; 1.2997305; 1.3097712; 1.3041194; 0.99663459; 0.99233403
515.00000; 1.2872790; 1.2976194; 1.2908010; 0.99727150; 0.99203130
516.00000; 1.2744402; 1.2812762; 1.2778752; 0.99731196; 0.99466471
517.00000; 1.2667651; 1.2662620; 1.2678678; 0.99913025; 1.0003973
518.00000; 1.2630454; 1.2630454; 1.2630454; 1.0000000; 1.0000000
519.00000; 1.2666086; 1.2735675; 1.2643303; 1.0018020; 0.99453586
520.00000; 1.2765440; 1.2898395; 1.2708311; 1.0044954; 0.98969210
521.00000; 1.2889537; 1.3031815; 1.2800777; 1.0069340; 0.98908224
522.00000; 1.3031079; 1.3107488; 1.2890871; 1.0108766; 0.99417061
523.00000; 1.3136030; 1.3143063; 1.2955648; 1.0139230; 0.99946484
524.00000; 1.3205684; 1.3139501; 1.2986536; 1.0168750; 1.0050369
525.00000; 1.3230520; 1.3071143; 1.2990729; 1.0184586; 1.0121930
526.00000; 1.3251259; 1.2975382; 1.2986525; 1.0203853; 1.0212616
527.00000; 1.3270943; 1.2961587; 1.2993433; 1.0213577; 1.0238671
528.00000; 1.3316913; 1.3064775; 1.3020870; 1.0227361; 1.0192991
