wl (nm); Emeas; Emod_sc - Retrieved values (SS = -0.773 nm, FWHM =  6.136 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS = -0.773 nm, FWHM =  6.136 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
350.00000; 0.40367911; 0.65750818; 0.63594332; 0.63477215; 0.61395298
351.00000; 0.41272777; 0.63083523; 0.62409628; 0.66132068; 0.65425606
352.00000; 0.41572779; 0.61655577; 0.61443783; 0.67659861; 0.67427442
353.00000; 0.41777473; 0.62036739; 0.60576808; 0.68966119; 0.67343116
354.00000; 0.41845894; 0.62976864; 0.59655989; 0.70145337; 0.66446457
355.00000; 0.41861715; 0.62499266; 0.58636563; 0.71391831; 0.66979531
356.00000; 0.41904921; 0.59911077; 0.57715922; 0.72605477; 0.69945196
357.00000; 0.42010730; 0.56722893; 0.57197649; 0.73448351; 0.74063095
358.00000; 0.42342574; 0.55427994; 0.57304044; 0.73891076; 0.76392038
359.00000; 0.42818020; 0.56857561; 0.58055413; 0.73753708; 0.75307521
360.00000; 0.43580580; 0.59252342; 0.59310258; 0.73478993; 0.73550814
361.00000; 0.44337975; 0.60925412; 0.60892736; 0.72813242; 0.72774189
362.00000; 0.45099546; 0.62105519; 0.62670997; 0.71962388; 0.72617613
363.00000; 0.46252470; 0.63554953; 0.64531579; 0.71674164; 0.72775555
364.00000; 0.47491055; 0.65756271; 0.66296979; 0.71633814; 0.72222853
365.00000; 0.48683250; 0.68680654; 0.67784811; 0.71820292; 0.70883497
366.00000; 0.49606338; 0.71178398; 0.68759626; 0.72144572; 0.69692968
367.00000; 0.50358200; 0.71952000; 0.69083601; 0.72894579; 0.69988603
368.00000; 0.50763545; 0.71468268; 0.68726834; 0.73862773; 0.71029488
369.00000; 0.51228477; 0.70842374; 0.67759130; 0.75603799; 0.72313326
370.00000; 0.51790162; 0.70021972; 0.66359602; 0.78044715; 0.73962731
371.00000; 0.51832031; 0.68203612; 0.64851448; 0.79924246; 0.75996021
372.00000; 0.51821914; 0.65086685; 0.63687793; 0.81368676; 0.79619838
373.00000; 0.52172765; 0.61669356; 0.63311986; 0.82405826; 0.84600794
374.00000; 0.52453309; 0.60093207; 0.63911606; 0.82071649; 0.87286586
375.00000; 0.52678005; 0.61873731; 0.65274077; 0.80702796; 0.85137917
376.00000; 0.52619842; 0.66489840; 0.66771605; 0.78805718; 0.79139673
377.00000; 0.52588293; 0.71467836; 0.67629591; 0.77759296; 0.73583162
378.00000; 0.52608299; 0.73846319; 0.67274598; 0.78199351; 0.71240245
379.00000; 0.52385408; 0.72587832; 0.65586888; 0.79871769; 0.72168305
380.00000; 0.52101565; 0.68960021; 0.62942701; 0.82776183; 0.75553291
381.00000; 0.51808355; 0.63834789; 0.60052093; 0.86272356; 0.81160064
382.00000; 0.51565981; 0.57964114; 0.57680403; 0.89399482; 0.88961908
383.00000; 0.51363371; 0.53950038; 0.56381672; 0.91099410; 0.95205440
384.00000; 0.51429893; 0.53703674; 0.56359653; 0.91253034; 0.95766060
385.00000; 0.51511856; 0.55743129; 0.57517686; 0.89558289; 0.92409337
386.00000; 0.51604408; 0.57776183; 0.59569194; 0.86629354; 0.89317787
387.00000; 0.52254751; 0.59672396; 0.62084622; 0.84166979; 0.87569386
388.00000; 0.53026810; 0.62987693; 0.64507255; 0.82202863; 0.84185985
389.00000; 0.53519447; 0.68250830; 0.66243773; 0.80791663; 0.78415818
390.00000; 0.54259045; 0.73041373; 0.66914475; 0.81087156; 0.74285357
391.00000; 0.55179500; 0.73379030; 0.66623748; 0.82822570; 0.75197915
392.00000; 0.55835878; 0.68330667; 0.66001300; 0.84598149; 0.81714228
393.00000; 0.56887969; 0.62792596; 0.65937145; 0.86276057; 0.90596619
394.00000; 0.58685355; 0.62117549; 0.67203480; 0.87324875; 0.94474679
395.00000; 0.60907068; 0.64873865; 0.70163402; 0.86807461; 0.93885369
396.00000; 0.63413745; 0.67466169; 0.74831595; 0.84741939; 0.93993398
397.00000; 0.66936079; 0.72133821; 0.80705423; 0.82938762; 0.92794307
398.00000; 0.70591863; 0.81652041; 0.86956402; 0.81180754; 0.86454499
399.00000; 0.74326159; 0.92534195; 0.92640999; 0.80230308; 0.80322910
400.00000; 0.78001393; 0.99937025; 0.97026321; 0.80391993; 0.78050545
