wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.742 nm, FWHM =  5.607 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  0.742 nm, FWHM =  5.607 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
476.00000; 1.3527887; 1.3626196; 1.3607692; 0.99413529; 0.99278530
477.00000; 1.3581231; 1.3639918; 1.3629944; 0.99642602; 0.99569736
478.00000; 1.3620571; 1.3634235; 1.3639918; 0.99858161; 0.99899784
479.00000; 1.3639736; 1.3611036; 1.3637290; 1.0001793; 1.0021086
480.00000; 1.3639918; 1.3593983; 1.3622890; 1.0012499; 1.0033791
481.00000; 1.3620253; 1.3593963; 1.3594592; 1.0018876; 1.0019340
482.00000; 1.3544790; 1.3580956; 1.3543493; 1.0000958; 0.99733702
483.00000; 1.3444142; 1.3503652; 1.3457164; 0.99903234; 0.99559299
484.00000; 1.3328045; 1.3333107; 1.3331277; 0.99975755; 0.99962034
485.00000; 1.3174709; 1.3108312; 1.3181863; 0.99945728; 1.0050652
486.00000; 1.3044628; 1.2948692; 1.3045423; 0.99993903; 1.0074089
487.00000; 1.2948692; 1.2953561; 1.2961547; 0.99900827; 0.99962418
488.00000; 1.2951760; 1.3081626; 1.2948692; 1.0002369; 0.99007264
489.00000; 1.3001425; 1.3217211; 1.2993870; 1.0005815; 0.98367390
490.00000; 1.3132759; 1.3281309; 1.3065172; 1.0051730; 0.98881512
491.00000; 1.3232572; 1.3276828; 1.3134211; 1.0074889; 0.99666664
492.00000; 1.3310506; 1.3274943; 1.3191193; 1.0090449; 1.0026790
493.00000; 1.3363753; 1.3329384; 1.3240096; 1.0093396; 1.0025785
494.00000; 1.3416495; 1.3410802; 1.3283124; 1.0100406; 1.0004246
495.00000; 1.3466013; 1.3453501; 1.3311360; 1.0116182; 1.0009301
496.00000; 1.3473665; 1.3421795; 1.3309716; 1.0123180; 1.0038646
497.00000; 1.3460484; 1.3329172; 1.3269584; 1.0143863; 1.0098515
498.00000; 1.3393586; 1.3221513; 1.3196869; 1.0149063; 1.0130146
499.00000; 1.3323332; 1.3133145; 1.3110594; 1.0162264; 1.0144815
500.00000; 1.3251029; 1.3072810; 1.3030614; 1.0169152; 1.0136328
501.00000; 1.3213068; 1.3044685; 1.2975407; 1.0183163; 1.0129082
502.00000; 1.3189456; 1.3056031; 1.2954835; 1.0181107; 1.0102194
503.00000; 1.3188511; 1.3099716; 1.2970327; 1.0168218; 1.0067783
504.00000; 1.3205176; 1.3171198; 1.3015075; 1.0146062; 1.0025797
505.00000; 1.3233350; 1.3259369; 1.3075110; 1.0121024; 0.99803768
