wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.629 nm, FWHM =  1.017 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm); rho - Retrieved values (SS = -1.629 nm, FWHM =  1.017 nm); rho - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
922.08000; 0.69052805; 0.73455362; 0.69412813; 0.99481351; 0.94006486
922.32000; 0.69437588; 0.74227304; 0.69325043; 1.0016234; 0.93547231
922.56000; 0.69533320; 0.73746032; 0.69422883; 1.0015908; 0.94287542
922.80000; 0.69366267; 0.72562772; 0.69635294; 0.99613663; 0.95594841
923.04000; 0.69595844; 0.71377905; 0.70037860; 0.99368890; 0.97503344
923.28000; 0.69890691; 0.70380920; 0.70611154; 0.98979675; 0.99303464
923.52000; 0.70360283; 0.69692582; 0.71128985; 0.98919285; 1.0095807
923.76000; 0.70193739; 0.69357797; 0.71295716; 0.98454357; 1.0120526
924.00000; 0.69588602; 0.69332688; 0.70981128; 0.98038174; 1.0036911
924.24000; 0.69752609; 0.69456058; 0.70543726; 0.98878543; 1.0042696
924.48000; 0.70305326; 0.69694828; 0.70704985; 0.99434751; 1.0087596
924.72000; 0.70862320; 0.70146329; 0.71650189; 0.98900395; 1.0102071
924.96000; 0.70994991; 0.70746603; 0.72514999; 0.97903871; 1.0035109
925.20000; 0.71030991; 0.71229812; 0.72180921; 0.98406879; 0.99720875
925.44000; 0.70975409; 0.71298354; 0.70303158; 1.0095622; 0.99547051
925.68000; 0.69687512; 0.70880289; 0.67345007; 1.0347836; 0.98317194
925.92000; 0.67674670; 0.70466974; 0.64045774; 1.0566610; 0.96037428
926.16000; 0.65711180; 0.70815775; 0.61107733; 1.0753333; 0.92791726
926.40000; 0.63769550; 0.71906301; 0.58949709; 1.0817619; 0.88684231
926.64000; 0.62356401; 0.72654418; 0.57488476; 1.0846765; 0.85826029
926.88000; 0.61524287; 0.71992296; 0.56431542; 1.0902464; 0.85459542
927.12000; 0.61189273; 0.69795169; 0.55639797; 1.0997393; 0.87669783
927.36000; 0.60914515; 0.66660759; 0.54905727; 1.1094383; 0.91379869
927.60000; 0.59732259; 0.63347688; 0.53868114; 1.1088612; 0.94292722
927.84000; 0.58098625; 0.60538649; 0.52495544; 1.1067344; 0.95969476
928.08000; 0.56598057; 0.58564217; 0.51221281; 1.1049715; 0.96642728
928.32000; 0.55400491; 0.57227336; 0.50384512; 1.0995540; 0.96807741
928.56000; 0.54827309; 0.56238261; 0.49781511; 1.1013589; 0.97491118
928.80000; 0.53880802; 0.55499345; 0.48905832; 1.1017255; 0.97083671
929.04000; 0.52196508; 0.54751070; 0.47576635; 1.0971038; 0.95334225
929.28000; 0.51045999; 0.53620672; 0.46072463; 1.1079503; 0.95198359
929.52000; 0.49692944; 0.52195444; 0.44540874; 1.1156706; 0.95205520
929.76000; 0.47057791; 0.50986653; 0.42798084; 1.0995303; 0.92294332
930.00000; 0.44197491; 0.50255004; 0.40907066; 1.0804366; 0.87946448
930.24000; 0.42410119; 0.49665492; 0.39303547; 1.0790405; 0.85391520
930.48000; 0.42088588; 0.48691910; 0.38291613; 1.0991594; 0.86438565
930.72000; 0.41777511; 0.47274215; 0.37935741; 1.1012705; 0.88372723
930.96000; 0.41488127; 0.45764647; 0.38117160; 1.0884370; 0.90655407
931.20000; 0.42372806; 0.44221154; 0.38272596; 1.1071318; 0.95820218
931.44000; 0.41819293; 0.42414374; 0.37642582; 1.1109571; 0.98596981
931.68000; 0.38842463; 0.40517118; 0.36209035; 1.0727285; 0.95866796
931.92000; 0.36179582; 0.39013227; 0.34548636; 1.0472072; 0.92736706
932.16000; 0.35533267; 0.38138636; 0.33479360; 1.0613485; 0.93168687
932.40000; 0.33905051; 0.37925401; 0.33329184; 1.0172782; 0.89399323
932.64000; 0.33329184; 0.38204082; 0.34232144; 0.97362244; 0.87239850
932.88000; 0.34919871; 0.38289752; 0.36141095; 0.96620955; 0.91199000
933.12000; 0.38936284; 0.37484664; 0.38281292; 1.0171100; 1.0387257
933.36000; 0.41812436; 0.35851651; 0.39312530; 1.0635906; 1.1662625
933.60000; 0.39999396; 0.34227871; 0.38675526; 1.0342302; 1.1686206
933.84000; 0.37321373; 0.33329184; 0.37359135; 0.99898923; 1.1197806
934.08000; 0.37431982; 0.33385282; 0.36797799; 1.0172343; 1.1212121
934.32000; 0.40462171; 0.34525398; 0.37269920; 1.0856522; 1.1719538
934.56000; 0.41984962; 0.36633605; 0.37783524; 1.1111976; 1.1460778
934.80000; 0.41573859; 0.38728023; 0.37426396; 1.1108165; 1.0734826
935.04000; 0.39804823; 0.39413592; 0.36428682; 1.0926781; 1.0099263
935.28000; 0.38425556; 0.38430270; 0.35736741; 1.0752395; 0.99987735
935.52000; 0.38058166; 0.37095629; 0.35816184; 1.0625969; 1.0259475
935.76000; 0.39127208; 0.36790810; 0.36228558; 1.0800101; 1.0635049
936.00000; 0.40064315; 0.37447131; 0.36466173; 1.0986707; 1.0698901
936.24000; 0.39619633; 0.37864157; 0.36858093; 1.0749236; 1.0463625
936.48000; 0.41441565; 0.37280362; 0.38223377; 1.0841942; 1.1116192
936.72000; 0.44763913; 0.36208883; 0.40872262; 1.0952150; 1.2362688
936.96000; 0.48528045; 0.35660967; 0.44407795; 1.0927821; 1.3608168
937.20000; 0.53118987; 0.35906164; 0.48149696; 1.1032050; 1.4793835
937.44000; 0.57413038; 0.36328552; 0.51277327; 1.1196574; 1.5803833
