wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.160 nm, FWHM =  0.859 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm); rho - Retrieved values (SS = -1.160 nm, FWHM =  0.859 nm); rho - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
653.04000; 1.2492348; 1.2513439; 1.2280952; 1.0172133; 0.99831455
653.28000; 1.2376236; 1.2473240; 1.2140354; 1.0194296; 0.99222301
653.52000; 1.2289482; 1.2445803; 1.2035010; 1.0211443; 0.98743989
653.76000; 1.2225075; 1.2425924; 1.1975815; 1.0208136; 0.98383634
654.00000; 1.2082122; 1.2373162; 1.1884834; 1.0166000; 0.97647818
654.24000; 1.1818227; 1.2267904; 1.1666529; 1.0130028; 0.96334520
654.48000; 1.1379643; 1.2140384; 1.1252925; 1.0112609; 0.93733794
654.72000; 1.0749254; 1.2031340; 1.0666942; 1.0077165; 0.89343779
654.96000; 1.0196422; 1.1931728; 1.0158492; 1.0037339; 0.85456375
655.20000; 1.0094547; 1.1773757; 1.0094547; 1.0000000; 0.85737683
655.44000; 1.0521542; 1.1475937; 1.0527732; 0.99941205; 0.91683515
655.68000; 1.1113739; 1.1007672; 1.1111206; 1.0002280; 1.0096357
655.92000; 1.1594454; 1.0466340; 1.1540813; 1.0046480; 1.1077849
656.16000; 1.1884257; 1.0094547; 1.1807945; 1.0064628; 1.1772948
656.40000; 1.2105798; 1.0116067; 1.2024855; 1.0067313; 1.1966903
656.64000; 1.2283827; 1.0510900; 1.2220536; 1.0051791; 1.1686751
656.88000; 1.2332773; 1.1036694; 1.2347100; 0.99883962; 1.1174336
657.12000; 1.2398228; 1.1479782; 1.2389438; 1.0007095; 1.0800055
657.36000; 1.2428793; 1.1799091; 1.2385359; 1.0035069; 1.0533687
657.60000; 1.2394891; 1.2043939; 1.2359276; 1.0028816; 1.0291393
657.84000; 1.2333556; 1.2235437; 1.2302454; 1.0025281; 1.0080192
658.08000; 1.2284671; 1.2357580; 1.2241611; 1.0035174; 0.99410003
658.32000; 1.2317588; 1.2407481; 1.2247803; 1.0056978; 0.99275496
658.56000; 1.2403698; 1.2406133; 1.2335679; 1.0055140; 0.99980376
658.80000; 1.2474550; 1.2372009; 1.2444121; 1.0024453; 1.0082881
659.04000; 1.2513439; 1.2320308; 1.2513439; 1.0000000; 1.0156758
