wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.646 nm, FWHM =  1.041 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm); rho - Retrieved values (SS = -1.646 nm, FWHM =  1.041 nm); rho - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
407.04000; 1.2812899; 1.0959217; 1.2310261; 1.0408308; 1.1691436
407.28000; 1.2771940; 1.1035519; 1.2481494; 1.0232702; 1.1573484
407.52000; 1.2766343; 1.1135979; 1.2448385; 1.0255421; 1.1464051
407.76000; 1.2346317; 1.1302857; 1.2146813; 1.0164243; 1.0923183
408.00000; 1.1757110; 1.1545327; 1.1642147; 1.0098748; 1.0183436
408.24000; 1.1243925; 1.1820301; 1.1145403; 1.0088397; 0.95123844
408.48000; 1.0918301; 1.2096056; 1.0918301; 1.0000000; 0.90263313
408.72000; 1.1170407; 1.2353172; 1.1087534; 1.0074745; 0.90425420
408.96000; 1.1563795; 1.2512381; 1.1542503; 1.0018446; 0.92418821
409.20000; 1.1899612; 1.2453467; 1.2051433; 0.98740225; 0.95552609
409.44000; 1.2266031; 1.2118456; 1.2453398; 0.98495458; 1.0121777
409.68000; 1.2610929; 1.1589414; 1.2706313; 0.99249322; 1.0881421
409.92000; 1.2777377; 1.1098573; 1.2812899; 0.99722767; 1.1512631
410.16000; 1.2743835; 1.0918301; 1.2782046; 0.99701060; 1.1671994
410.40000; 1.2604071; 1.1151818; 1.2647603; 0.99655804; 1.1302257
410.64000; 1.2503996; 1.1642936; 1.2460573; 1.0034848; 1.0739556
410.88000; 1.2438216; 1.2141293; 1.2251456; 1.0152439; 1.0244556
411.12000; 1.2311890; 1.2509089; 1.2034380; 1.0230598; 0.98423555
411.36000; 1.2124168; 1.2730716; 1.1854958; 1.0227086; 0.95235556
411.60000; 1.1996920; 1.2812899; 1.1791722; 1.0174019; 0.93631586
411.84000; 1.2088973; 1.2761352; 1.1867332; 1.0186765; 0.94731129
412.08000; 1.2250488; 1.2614962; 1.1984377; 1.0222048; 0.97110778
412.32000; 1.2350740; 1.2428384; 1.2022342; 1.0273157; 0.99375269
412.56000; 1.2333971; 1.2224946; 1.1990919; 1.0286093; 1.0089182
412.80000; 1.2236492; 1.2011237; 1.2003965; 1.0193708; 1.0187537
413.04000; 1.2172354; 1.1838168; 1.2110137; 1.0051376; 1.0282295
