wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.163 nm, FWHM =  1.086 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
586.08000; 1.3918512; 1.3492044; 1.3918512
586.32000; 1.3897634; 1.3599097; 1.3910542
586.56000; 1.3837158; 1.3714598; 1.3847610
586.80000; 1.3720508; 1.3811802; 1.3723047
587.04000; 1.3495181; 1.3883285; 1.3513461
587.28000; 1.3211658; 1.3918512; 1.3188544
587.52000; 1.2752405; 1.3904267; 1.2771433
587.76000; 1.2293831; 1.3837186; 1.2382623
588.00000; 1.2179951; 1.3716971; 1.2179951
588.24000; 1.2245560; 1.3516486; 1.2244141
588.48000; 1.2536513; 1.3187119; 1.2533393
588.72000; 1.2922595; 1.2748114; 1.2906694
588.96000; 1.3231512; 1.2351234; 1.3262218
589.20000; 1.3415271; 1.2179951; 1.3496235
589.44000; 1.3529492; 1.2297895; 1.3598500
589.68000; 1.3550998; 1.2632614; 1.3607370
589.92000; 1.3513969; 1.3025129; 1.3570984
590.16000; 1.3482749; 1.3367256; 1.3536424
590.40000; 1.3472838; 1.3563817; 1.3539201
590.64000; 1.3486115; 1.3629911; 1.3578310
590.88000; 1.3518801; 1.3616298; 1.3613614
591.12000; 1.3557707; 1.3566535; 1.3603771
591.36000; 1.3585521; 1.3527262; 1.3547848
591.60000; 1.3508923; 1.3538576; 1.3488080
591.84000; 1.3474966; 1.3592637; 1.3471927
592.08000; 1.3503578; 1.3633794; 1.3512052
