wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.644 nm, FWHM =  0.881 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
922.08000; 0.69052805; 0.73455362; 0.68985572
922.32000; 0.69437588; 0.74227304; 0.69020032
922.56000; 0.69533320; 0.73746032; 0.69165518
922.80000; 0.69366267; 0.72562772; 0.69291829
923.04000; 0.69595844; 0.71377905; 0.69707812
923.28000; 0.69890691; 0.70380920; 0.70398954
923.52000; 0.70360283; 0.69692582; 0.71022484
923.76000; 0.70193739; 0.69357797; 0.71260945
924.00000; 0.69588602; 0.69332688; 0.70777747
924.24000; 0.69752609; 0.69456058; 0.69914600
924.48000; 0.70305326; 0.69694828; 0.69985279
924.72000; 0.70862320; 0.70146329; 0.71467499
924.96000; 0.70994991; 0.70746603; 0.72866938
925.20000; 0.71030991; 0.71229812; 0.72514776
925.44000; 0.70975409; 0.71298354; 0.70289239
925.68000; 0.69687512; 0.70880289; 0.67033220
925.92000; 0.67674670; 0.70466974; 0.63498370
926.16000; 0.65711180; 0.70815775; 0.60436584
926.40000; 0.63769550; 0.71906301; 0.58476370
926.64000; 0.62356401; 0.72654418; 0.57270358
926.88000; 0.61524287; 0.71992296; 0.56223790
927.12000; 0.61189273; 0.69795169; 0.55521364
927.36000; 0.60914515; 0.66660759; 0.55047452
927.60000; 0.59732259; 0.63347688; 0.54017128
927.84000; 0.58098625; 0.60538649; 0.52373400
928.08000; 0.56598057; 0.58564217; 0.50958033
928.32000; 0.55400491; 0.57227336; 0.50300264
928.56000; 0.54827309; 0.56238261; 0.50012785
928.80000; 0.53880802; 0.55499345; 0.49208786
929.04000; 0.52196508; 0.54751070; 0.47635226
929.28000; 0.51045999; 0.53620672; 0.46070349
929.52000; 0.49692944; 0.52195444; 0.44780061
929.76000; 0.47057791; 0.50986653; 0.43019542
930.00000; 0.44197491; 0.50255004; 0.40864037
930.24000; 0.42410119; 0.49665492; 0.39231702
930.48000; 0.42088588; 0.48691910; 0.38295153
930.72000; 0.41777511; 0.47274215; 0.37952488
930.96000; 0.41488127; 0.45764647; 0.38416377
931.20000; 0.42372806; 0.44221154; 0.39007629
931.44000; 0.41819293; 0.42414374; 0.38348004
931.68000; 0.38842463; 0.40517118; 0.36461022
931.92000; 0.36179582; 0.39013227; 0.34485896
932.16000; 0.35533267; 0.38138636; 0.33452680
932.40000; 0.33905051; 0.37925401; 0.33329184
932.64000; 0.33329184; 0.38204082; 0.34187195
932.88000; 0.34919871; 0.38289752; 0.36441345
933.12000; 0.38936284; 0.37484664; 0.39290318
933.36000; 0.41812436; 0.35851651; 0.40512823
933.60000; 0.39999396; 0.34227871; 0.39167233
933.84000; 0.37321373; 0.33329184; 0.37073603
934.08000; 0.37431982; 0.33385282; 0.36537821
934.32000; 0.40462171; 0.34525398; 0.37684283
934.56000; 0.41984962; 0.36633605; 0.38648771
934.80000; 0.41573859; 0.38728023; 0.38019266
935.04000; 0.39804823; 0.39413592; 0.36456576
935.28000; 0.38425556; 0.38430270; 0.35606759
935.52000; 0.38058166; 0.37095629; 0.36065880
935.76000; 0.39127208; 0.36790810; 0.36815286
936.00000; 0.40064315; 0.37447131; 0.36801117
936.24000; 0.39619633; 0.37864157; 0.36716068
936.48000; 0.41441565; 0.37280362; 0.38046725
936.72000; 0.44763913; 0.36208883; 0.40988599
936.96000; 0.48528045; 0.35660967; 0.44753841
937.20000; 0.53118987; 0.35906164; 0.48742713
