wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.356 nm, FWHM =  0.985 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
512.88000; 1.3873227; 1.4000317; 1.3565150
513.12000; 1.3912747; 1.4099420; 1.3580941
513.36000; 1.4000512; 1.4125341; 1.3676445
513.60000; 1.4072167; 1.4013698; 1.3808883
513.84000; 1.4111609; 1.3816116; 1.3959487
514.08000; 1.4161451; 1.3647304; 1.4104780
514.32000; 1.4173427; 1.3586917; 1.4173427
514.56000; 1.4054585; 1.3634279; 1.4051817
514.80000; 1.3697538; 1.3745173; 1.3653450
515.04000; 1.3041146; 1.3885358; 1.3012670
515.28000; 1.2344971; 1.4037631; 1.2327329
515.52000; 1.1903688; 1.4163448; 1.1875606
515.76000; 1.1851662; 1.4173427; 1.1851662
516.00000; 1.2222544; 1.3956747; 1.2224232
516.24000; 1.2725129; 1.3463238; 1.2689227
516.48000; 1.2952682; 1.2785917; 1.2863138
516.72000; 1.2808612; 1.2161712; 1.2682603
516.96000; 1.2565651; 1.1851662; 1.2452552
517.20000; 1.2553147; 1.1979028; 1.2517341
517.44000; 1.2806790; 1.2413516; 1.2838854
517.68000; 1.3103936; 1.2798035; 1.3142182
517.92000; 1.3327517; 1.2832192; 1.3302493
518.16000; 1.3476890; 1.2608802; 1.3410883
518.40000; 1.3661493; 1.2469535; 1.3557444
518.64000; 1.3749731; 1.2641067; 1.3700236
518.88000; 1.3737702; 1.2974649; 1.3753237
519.12000; 1.3609893; 1.3227900; 1.3732649
519.36000; 1.3553622; 1.3361486; 1.3749449
519.60000; 1.3635941; 1.3482215; 1.3858747
519.84000; 1.3765294; 1.3634680; 1.3993933
520.08000; 1.3868857; 1.3750059; 1.4081845
520.32000; 1.3942623; 1.3771540; 1.4132277
520.56000; 1.3969460; 1.3756408; 1.4150569
520.80000; 1.3905675; 1.3806890; 1.4068446
521.04000; 1.3748183; 1.3932625; 1.3864049
