wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.274 nm, FWHM =  0.968 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
805.92000; 0.97925856; 0.97959199; 0.97959199
806.16000; 0.97875609; 0.97924515; 0.97905850
806.40000; 0.97832109; 0.97827723; 0.97832310
806.64000; 0.97959199; 0.97671638; 0.97613539
806.88000; 0.97245630; 0.97474919; 0.97254722
807.12000; 0.97061507; 0.97313148; 0.96902861
807.36000; 0.97188205; 0.97233449; 0.96666997
807.60000; 0.96913902; 0.97170084; 0.96452026
807.84000; 0.96601472; 0.97004392; 0.96103350
808.08000; 0.96228229; 0.96699309; 0.95696067
808.32000; 0.95978383; 0.96353247; 0.95516734
808.56000; 0.96173000; 0.96086973; 0.95721198
808.80000; 0.96438186; 0.95874556; 0.96106916
809.04000; 0.96541131; 0.95581249; 0.96291093
809.28000; 0.96475800; 0.95203816; 0.96079930
809.52000; 0.96287490; 0.94955835; 0.95540120
809.76000; 0.96381580; 0.95034387; 0.94938278
810.00000; 0.96484109; 0.95356221; 0.94520497
810.24000; 0.96230329; 0.95596999; 0.94309246
810.48000; 0.95765952; 0.95519503; 0.94090993
810.72000; 0.95305368; 0.95094625; 0.93719202
810.96000; 0.95110436; 0.94526378; 0.93290076
811.20000; 0.94874675; 0.94061453; 0.92827985
811.44000; 0.93859204; 0.93793607; 0.92027027
811.68000; 0.92374018; 0.93588911; 0.90656992
811.92000; 0.91240126; 0.93277606; 0.89114054
812.16000; 0.90577639; 0.92874731; 0.88117068
812.40000; 0.90045554; 0.92433994; 0.87826951
812.64000; 0.89551391; 0.91766855; 0.87736024
812.88000; 0.89419343; 0.90618778; 0.87394548
813.12000; 0.88678859; 0.89169905; 0.86718819
813.36000; 0.87848412; 0.88024758; 0.85810669
813.60000; 0.87078773; 0.87527896; 0.84953684
813.84000; 0.86335762; 0.87389551; 0.84500686
814.08000; 0.86394125; 0.87139806; 0.84533104
814.32000; 0.85970455; 0.86586373; 0.84673489
814.56000; 0.84642812; 0.85777183; 0.84309556
814.80000; 0.83350948; 0.84927843; 0.83368177
815.04000; 0.83260102; 0.84360650; 0.82686672
815.28000; 0.83750624; 0.84241862; 0.83068746
815.52000; 0.84776476; 0.84349597; 0.84363658
815.76000; 0.85882182; 0.84163122; 0.85700782
816.00000; 0.86041999; 0.83430647; 0.86079404
816.24000; 0.84841541; 0.82676520; 0.85142490
816.48000; 0.84101683; 0.82711257; 0.83853435
816.72000; 0.84111188; 0.83691759; 0.83598530
816.96000; 0.84573511; 0.84984154; 0.84540259
817.20000; 0.85288388; 0.85657687; 0.85688292
817.44000; 0.85914871; 0.85159403; 0.86298130
817.68000; 0.86007720; 0.84000577; 0.86409153
817.92000; 0.85596155; 0.83414579; 0.86255124
818.16000; 0.85059227; 0.83964538; 0.85941470
818.40000; 0.85238682; 0.85033679; 0.85856792
818.64000; 0.87123035; 0.85797264; 0.86745881
818.88000; 0.89447403; 0.86050935; 0.88812419
819.12000; 0.91026234; 0.85978763; 0.91111697
819.36000; 0.91728506; 0.85727434; 0.92390970
819.60000; 0.91771920; 0.85573935; 0.92467568
819.84000; 0.91233138; 0.86125841; 0.91886110
820.08000; 0.90393481; 0.87764356; 0.91246763
820.32000; 0.89722222; 0.89936986; 0.90498546
820.56000; 0.88397818; 0.91479999; 0.89204687
820.80000; 0.85965116; 0.91946039; 0.86952612
821.04000; 0.82567641; 0.91568038; 0.83594253
821.28000; 0.78401886; 0.90954890; 0.79769418
821.52000; 0.77135802; 0.90263344; 0.77135802
821.76000; 0.78361768; 0.89178692; 0.77252747
822.00000; 0.81196124; 0.87290912; 0.80063584
822.24000; 0.84751314; 0.84379818; 0.83930198
822.48000; 0.88020514; 0.80814555; 0.87116054
822.72000; 0.89419463; 0.77880153; 0.89006040
822.96000; 0.90318066; 0.77135802; 0.90128125
823.20000; 0.91391637; 0.79045275; 0.91221593
823.44000; 0.92126012; 0.82498437; 0.92295160
823.68000; 0.92184870; 0.85817286; 0.92696317
823.92000; 0.91762509; 0.88048363; 0.92019923
824.16000; 0.91010622; 0.89356331; 0.90701833
824.40000; 0.90538497; 0.90408878; 0.89725859
824.64000; 0.90745298; 0.91453856; 0.89803300
824.88000; 0.91494380; 0.92057767; 0.90826672
825.12000; 0.92333026; 0.91736727; 0.92050788
825.36000; 0.92388167; 0.90648619; 0.92571650
825.60000; 0.91179771; 0.89584640; 0.91768894
825.84000; 0.89399431; 0.89330011; 0.89814684
826.08000; 0.87917223; 0.90036725; 0.87749737
