wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.433 nm, FWHM =  1.269 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
349.92000; 4.5745995e-008; 0.68394463; 0.57518133
350.16000; 0.59384335; 0.66716271; 0.57214005
350.40000; 0.57918278; 0.64647350; 0.56824539
350.64000; 0.56029296; 0.62145900; 0.56104583
350.88000; 0.55948076; 0.59489380; 0.55493138
351.12000; 0.58443576; 0.57504094; 0.55724569
351.36000; 0.61386716; 0.57085020; 0.57073613
351.60000; 0.63799171; 0.57912043; 0.59102696
351.84000; 0.65994366; 0.58172923; 0.61139470
352.08000; 0.67195170; 0.56642033; 0.62844609
352.32000; 0.67135771; 0.54581758; 0.64261394
352.56000; 0.68656287; 0.54410609; 0.65466829
352.80000; 0.68694920; 0.56761373; 0.66313917
353.04000; 0.68210253; 0.59929680; 0.66671174
353.28000; 0.68063013; 0.62151468; 0.66417525
353.52000; 0.66789340; 0.63370676; 0.65714728
353.76000; 0.65184831; 0.64531163; 0.64854570
354.00000; 0.63865364; 0.66007493; 0.64021350
354.24000; 0.62861683; 0.67228035; 0.63079322
354.48000; 0.61985016; 0.67672778; 0.61595350
354.72000; 0.60712731; 0.67156740; 0.59199993
354.96000; 0.58975518; 0.66033897; 0.56049526
355.20000; 0.58044973; 0.64841467; 0.52915570
355.44000; 0.56335397; 0.64106513; 0.50680761
355.68000; 0.56387501; 0.63843303; 0.49604711
355.92000; 0.56766995; 0.63118277; 0.49043610
356.16000; 0.57471749; 0.60697961; 0.47970253
356.40000; 0.56469444; 0.56439383; 0.45919268
356.64000; 0.54712557; 0.51905338; 0.43557145
356.88000; 0.54974293; 0.49250677; 0.42367923
357.12000; 0.57920345; 0.49258087; 0.43676903
357.36000; 0.62671736; 0.50450418; 0.47742396
357.60000; 0.68120561; 0.50238231; 0.53550092
357.84000; 0.71431697; 0.47256951; 0.59376225
358.08000; 0.72291914; 0.42761552; 0.63625153
358.32000; 0.71296553; 0.39746266; 0.65397990
358.56000; 0.68286783; 0.40791274; 0.64668315
358.80000; 0.64186267; 0.46342622; 0.62212171
359.04000; 0.60966804; 0.54380765; 0.59311717
359.28000; 0.59685579; 0.61883692; 0.57191834
359.52000; 0.59790072; 0.66814559; 0.56414871
359.76000; 0.60228001; 0.68480854; 0.56693113
360.00000; 0.60514940; 0.66860156; 0.57369776
360.24000; 0.60185093; 0.62812600; 0.58175791
360.48000; 0.62441674; 0.58339021; 0.59418267
360.72000; 0.65181860; 0.55576090; 0.61300726
360.96000; 0.67162647; 0.55479579; 0.63235959
361.20000; 0.66244496; 0.57123240; 0.64184214
361.44000; 0.63994263; 0.58316781; 0.63742878
361.68000; 0.62867339; 0.58102594; 0.62644354
361.92000; 0.63964136; 0.58329716; 0.62005675
362.16000; 0.66117415; 0.61087658; 0.62202285
362.40000; 0.66924736; 0.65136772; 0.62633902
362.64000; 0.66263420; 0.66885591; 0.62567836
362.88000; 0.64928833; 0.64883508; 0.62114111
363.12000; 0.65838358; 0.61667763; 0.62202126
363.36000; 0.68496328; 0.60625426; 0.63963867
363.60000; 0.72150804; 0.62261014; 0.67669261
363.84000; 0.74810914; 0.64188650; 0.72429845
364.08000; 0.75526941; 0.64007968; 0.76735120
364.32000; 0.75178547; 0.61928449; 0.79344685
364.56000; 0.74225248; 0.60217343; 0.79891428
364.80000; 0.72404445; 0.61609379; 0.78890049
365.04000; 0.70925907; 0.66657120; 0.77283531
365.28000; 0.70504899; 0.73467271; 0.75875165
365.52000; 0.70952831; 0.79217206; 0.74952916
365.76000; 0.70206849; 0.81989534; 0.74272467
366.00000; 0.68318916; 0.81615241; 0.73388346
366.24000; 0.66580677; 0.79330140; 0.72082896
366.48000; 0.66662762; 0.76770778; 0.70548258
366.72000; 0.67543871; 0.75115250; 0.69243755
366.96000; 0.68606994; 0.74697297; 0.68658951
