wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.102 nm, FWHM =  0.982 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
713.04000; 1.1450433; 1.1387220; 1.1450433
713.28000; 1.1348046; 1.1404116; 1.1374983
713.52000; 1.1283352; 1.1434239; 1.1290185
713.76000; 1.1292305; 1.1450433; 1.1236016
714.00000; 1.1318984; 1.1433351; 1.1234165
714.24000; 1.1361760; 1.1378630; 1.1261779
714.48000; 1.1368434; 1.1298813; 1.1268527
714.72000; 1.1291558; 1.1225774; 1.1208795
714.96000; 1.1095878; 1.1193850; 1.1056085
715.20000; 1.0864428; 1.1206675; 1.0814670
715.44000; 1.0679694; 1.1228638; 1.0527829
715.68000; 1.0505271; 1.1210941; 1.0255017
715.92000; 1.0350003; 1.1116173; 1.0037948
716.16000; 1.0195311; 1.0929788; 0.98960450
716.40000; 1.0102447; 1.0671911; 0.98331502
716.64000; 1.0025731; 1.0393792; 0.98238507
716.88000; 0.99026991; 1.0147812; 0.98073758
717.12000; 0.97362942; 0.99651086; 0.97349751
717.36000; 0.95783940; 0.98585810; 0.96321238
717.60000; 0.95718910; 0.98216051; 0.95718910
717.84000; 0.95797616; 0.98140630; 0.95814413
718.08000; 0.96177421; 0.97766281; 0.96261455
718.32000; 0.96819948; 0.96893737; 0.96690092
718.56000; 0.97248696; 0.96018348; 0.96929060
718.80000; 0.97276014; 0.95718910; 0.97013173
719.04000; 0.97511622; 0.95982867; 0.97321391
719.28000; 0.98580714; 0.96428386; 0.98395061
719.52000; 1.0083722; 0.96776856; 1.0049899
719.76000; 1.0398210; 0.96935520; 1.0335647
720.00000; 1.0662248; 0.97072757; 1.0620034
720.24000; 1.0814450; 0.97650437; 1.0822657
720.48000; 1.0888265; 0.99112087; 1.0915309
720.72000; 1.0881457; 1.0150678; 1.0924299
720.96000; 1.0836284; 1.0435139; 1.0887283
721.20000; 1.0816886; 1.0684105; 1.0829319
721.44000; 1.0758243; 1.0837548; 1.0754564
721.68000; 1.0624581; 1.0891942; 1.0634797
721.92000; 1.0394085; 1.0880234; 1.0455026
722.16000; 1.0217213; 1.0834581; 1.0245575
722.40000; 1.0151071; 1.0772016; 1.0107878
722.64000; 1.0102839; 1.0683522; 1.0071028
722.88000; 1.0108507; 1.0538561; 1.0077400
723.12000; 1.0180139; 1.0348924; 1.0084352
723.36000; 1.0252509; 1.0167813; 1.0098381
723.60000; 1.0246958; 1.0075636; 1.0110933
723.84000; 1.0191321; 1.0061479; 1.0093998
724.08000; 1.0182787; 1.0068483; 1.0066374
724.32000; 1.0271925; 1.0077376; 1.0077372
724.56000; 1.0348374; 1.0092423; 1.0118472
724.80000; 1.0346142; 1.0093776; 1.0135873
725.04000; 1.0316499; 1.0069637; 1.0128585
725.28000; 1.0345885; 1.0056062; 1.0157097
725.52000; 1.0400540; 1.0082072; 1.0242230
725.76000; 1.0404536; 1.0115457; 1.0306771
726.00000; 1.0320641; 1.0119712; 1.0257521
726.24000; 1.0156136; 1.0122935; 1.0111496
726.48000; 1.0093642; 1.0175575; 1.0003918
726.72000; 1.0183853; 1.0257750; 1.0052506
726.96000; 1.0336169; 1.0278630; 1.0221192
727.20000; 1.0371619; 1.0185693; 1.0347999
727.44000; 1.0232494; 1.0048146; 1.0313175
727.68000; 1.0075530; 1.0002297; 1.0157635
727.92000; 1.0025477; 1.0106045; 1.0033879
728.16000; 1.0174997; 1.0265332; 1.0051297
728.40000; 1.0356058; 1.0327219; 1.0176441
728.64000; 1.0464188; 1.0236823; 1.0286599
728.88000; 1.0471424; 1.0087268; 1.0307351
729.12000; 1.0373627; 1.0020385; 1.0272045
729.36000; 1.0331487; 1.0087296; 1.0245702
729.60000; 1.0335364; 1.0211420; 1.0243673
729.84000; 1.0398909; 1.0284131; 1.0255633
730.08000; 1.0448106; 1.0277260; 1.0288204
730.32000; 1.0483440; 1.0243489; 1.0350142
730.56000; 1.0566569; 1.0228208; 1.0445784
730.80000; 1.0663272; 1.0232039; 1.0578800
731.04000; 1.0720419; 1.0251142; 1.0723047
731.28000; 1.0764672; 1.0294511; 1.0826157
731.52000; 1.0802986; 1.0368098; 1.0865921
731.76000; 1.0812717; 1.0476861; 1.0868499
732.00000; 1.0855613; 1.0614431; 1.0877354
732.24000; 1.0936793; 1.0741915; 1.0924385
732.48000; 1.1032587; 1.0816822; 1.1016551
732.72000; 1.1103394; 1.0838088; 1.1109633
732.96000; 1.1088468; 1.0840392; 1.1150158
733.20000; 1.1026693; 1.0862268; 1.1127827
733.44000; 1.0960984; 1.0928300; 1.1075508
733.68000; 1.0920387; 1.1022615; 1.1030037
733.92000; 1.0891701; 1.1094900; 1.1006237
734.16000; 1.0872979; 1.1108110; 1.0996095
734.40000; 1.0851966; 1.1071540; 1.0983967
734.64000; 1.0809337; 1.1021405; 1.0963196
734.88000; 1.0805647; 1.0985594; 1.0939933
735.12000; 1.0853683; 1.0968832; 1.0927524
735.36000; 1.0869807; 1.0958966; 1.0936882
735.60000; 1.0879267; 1.0943613; 1.0970154
735.84000; 1.0924495; 1.0921588; 1.1024516
736.08000; 1.0957915; 1.0902304; 1.1091269
736.32000; 1.0976699; 1.0898495; 1.1147740
736.56000; 1.0992419; 1.0917330; 1.1166817
736.80000; 1.0951995; 1.0958561; 1.1141001
737.04000; 1.0848591; 1.1017610; 1.1089204
