wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.044 nm, FWHM =  1.055 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm); rho - Retrieved values (SS = -1.044 nm, FWHM =  1.055 nm); rho - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
755.97062; 0.00036878700; 0.00036792391; 0.00036877551; 1.0000312; 1.0023458
756.20622; 0.00036755157; 0.00036838161; 0.00036878700; 0.99665002; 0.99774679
756.44182; 0.00036845796; 0.00036876838; 0.00036877615; 0.99913716; 0.99915823
756.67742; 0.00036851517; 0.00036878700; 0.00036834157; 1.0004713; 0.99926292
756.91302; 0.00036441420; 0.00036861553; 0.00036706667; 0.99277388; 0.98860242
757.14862; 0.00036021656; 0.00036857026; 0.00036460991; 0.98795053; 0.97733483
757.38422; 0.00035588146; 0.00036866985; 0.00035992270; 0.98877192; 0.96531208
757.61982; 0.00034702732; 0.00036856736; 0.00034964386; 0.99251655; 0.94155739
757.85542; 0.00032832037; 0.00036776583; 0.00032802343; 1.0009053; 0.89274301
758.09102; 0.00029281695; 0.00036594967; 0.00029099028; 1.0062774; 0.80015635
758.32662; 0.00024508303; 0.00036284056; 0.00024185453; 1.0133489; 0.67545653
758.56222; 0.00019684023; 0.00035662350; 0.00019143217; 1.0282505; 0.55195530
758.79782; 0.00015740614; 0.00034205437; 0.00015088441; 1.0432233; 0.46017871
759.03342; 0.00012981273; 0.00031239118; 0.00012512686; 1.0374490; 0.41554545
759.26902; 0.00011508431; 0.00026640282; 0.00011324517; 1.0162403; 0.43199359
759.50462; 0.00011283914; 0.00021310471; 0.00011283914; 1.0000000; 0.52950091
759.74022; 0.00012232179; 0.00016628159; 0.00012255452; 0.99810102; 0.73563041
759.97582; 0.00014323109; 0.00013434930; 0.00014177504; 1.0102702; 1.0661097
760.21142; 0.00017296929; 0.00011753274; 0.00016872601; 1.0251489; 1.4716690
760.44702; 0.00020474420; 0.00011283914; 0.00019808665; 1.0336093; 1.8144786
760.68262; 0.00022611789; 0.00011829741; 0.00022091672; 1.0235436; 1.9114356
760.91822; 0.00022823827; 0.00013341637; 0.00022944669; 0.99473332; 1.7107217
761.15382; 0.00021714620; 0.00015770033; 0.00022327572; 0.97254730; 1.3769546
761.38942; 0.00020372655; 0.00018805725; 0.00020968735; 0.97157288; 1.0833220
761.62502; 0.00019380718; 0.00021646008; 0.00019738417; 0.98187802; 0.89534836
761.86062; 0.00019018972; 0.00023245167; 0.00019087687; 0.99640003; 0.81819035
762.09622; 0.00019250453; 0.00023112100; 0.00019019503; 1.0121428; 0.83291665
762.33182; 0.00019731937; 0.00021782676; 0.00019365403; 1.0189273; 0.90585461
762.56742; 0.00020331416; 0.00020298813; 0.00019983461; 1.0174122; 1.0016062
762.80302; 0.00021196819; 0.00019366552; 0.00020791321; 1.0195032; 1.0945066
763.03862; 0.00022170623; 0.00019100605; 0.00021691443; 1.0220907; 1.1607289
763.27422; 0.00023188031; 0.00019318901; 0.00022715883; 1.0207849; 1.2002769
763.50982; 0.00024234787; 0.00019843671; 0.00023772581; 1.0194428; 1.2212855
763.74542; 0.00025201864; 0.00020578723; 0.00024788673; 1.0166686; 1.2246564
763.98102; 0.00026073951; 0.00021426925; 0.00025681222; 1.0152924; 1.2168779
764.21662; 0.00026908357; 0.00022416478; 0.00026403003; 1.0191400; 1.2003829
764.45222; 0.00027618332; 0.00023465176; 0.00026984822; 1.0234765; 1.1769923
764.68782; 0.00028290759; 0.00024512118; 0.00027522466; 1.0279151; 1.1541540
764.92342; 0.00029013168; 0.00025470184; 0.00028122855; 1.0316580; 1.1391032
765.15902; 0.00029820619; 0.00026258803; 0.00028862399; 1.0331996; 1.1356427
765.39462; 0.00030682269; 0.00026869288; 0.00029759655; 1.0310022; 1.1419085
765.63022; 0.00031573087; 0.00027384296; 0.00030750688; 1.0267441; 1.1529633
765.86582; 0.00032501969; 0.00027921487; 0.00031705186; 1.0251310; 1.1640486
766.10142; 0.00033151542; 0.00028577007; 0.00032503623; 1.0199337; 1.1600775
766.33702; 0.00033648153; 0.00029402727; 0.00033101202; 1.0165236; 1.1443888
766.57262; 0.00033912934; 0.00030376321; 0.00033527707; 1.0114898; 1.1164267
766.80822; 0.00034177972; 0.00031379525; 0.00033855413; 1.0095275; 1.0891807
767.04382; 0.00034417100; 0.00032260277; 0.00034150073; 1.0078192; 1.0668569
767.27942; 0.00034675922; 0.00032935339; 0.00034424780; 1.0072954; 1.0528485
767.51502; 0.00034863375; 0.00033410574; 0.00034644918; 1.0063056; 1.0434833
767.75062; 0.00034867617; 0.00033751194; 0.00034785179; 1.0023699; 1.0330780
767.98622; 0.00034836347; 0.00034043094; 0.00034868880; 0.99906699; 1.0233014
768.22182; 0.00034867838; 0.00034330248; 0.00034937773; 0.99799831; 1.0156594
