wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.039 nm, FWHM =  4.595 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS = -1.039 nm, FWHM =  4.595 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
839.00000; 0.00029266866; 0.00029229328; 0.00029349995; 0.99716765; 1.0012843
840.00000; 0.00029369720; 0.00029375092; 0.00029460762; 0.99690973; 0.99981713
841.00000; 0.00029466042; 0.00029468630; 0.00029535393; 0.99765193; 0.99991219
842.00000; 0.00029542812; 0.00029513140; 0.00029590256; 0.99839664; 1.0010054
843.00000; 0.00029585869; 0.00029539889; 0.00029637956; 0.99824254; 1.0015565
844.00000; 0.00029665503; 0.00029586626; 0.00029665851; 0.99998828; 1.0026660
845.00000; 0.00029665851; 0.00029648355; 0.00029635235; 1.0010331; 1.0005901
846.00000; 0.00029516352; 0.00029665851; 0.00029505918; 1.0003536; 0.99496056
847.00000; 0.00029219958; 0.00029579506; 0.00029273019; 0.99818740; 0.98784472
848.00000; 0.00028875889; 0.00029346409; 0.00028983947; 0.99627180; 0.98396669
849.00000; 0.00028597969; 0.00029010205; 0.00028695796; 0.99659088; 0.98578997
850.00000; 0.00028315178; 0.00028751739; 0.00028404015; 0.99687238; 0.98481620
851.00000; 0.00028019476; 0.00028623554; 0.00028068920; 0.99823848; 0.97889577
852.00000; 0.00027688224; 0.00028373922; 0.00027735461; 0.99829689; 0.97583352
853.00000; 0.00027499596; 0.00027858336; 0.00027596580; 0.99648567; 0.98712270
854.00000; 0.00027617840; 0.00027487133; 0.00027798339; 0.99350684; 1.0047552
855.00000; 0.00028152889; 0.00027749302; 0.00028253502; 0.99643892; 1.0145440
856.00000; 0.00028803725; 0.00028446604; 0.00028714493; 1.0031075; 1.0125541
857.00000; 0.00029014375; 0.00028997334; 0.00029004517; 1.0003399; 1.0005877
858.00000; 0.00029141158; 0.00029191608; 0.00029117071; 1.0008273; 0.99827176
859.00000; 0.00029188170; 0.00029191872; 0.00029132342; 1.0019163; 0.99987319
860.00000; 0.00029107827; 0.00029161242; 0.00029104171; 1.0001256; 0.99816830
861.00000; 0.00028962090; 0.00029152342; 0.00029014112; 0.99820702; 0.99347389
862.00000; 0.00028718208; 0.00029151327; 0.00028787691; 0.99758636; 0.98514239
863.00000; 0.00028347254; 0.00029055143; 0.00028382218; 0.99876809; 0.97563635
864.00000; 0.00027920446; 0.00028685963; 0.00027887474; 1.0011823; 0.97331390
865.00000; 0.00027559977; 0.00028034508; 0.00027520903; 1.0014198; 0.98307333
866.00000; 0.00027461427; 0.00027485824; 0.00027461427; 1.0000000; 0.99911238
867.00000; 0.00027647032; 0.00027461427; 0.00027692717; 0.99835027; 1.0067587
868.00000; 0.00027982270; 0.00027866439; 0.00028041429; 0.99789033; 1.0041567
869.00000; 0.00028274813; 0.00028305993; 0.00028337882; 0.99777437; 0.99889846
870.00000; 0.00028390348; 0.00028586934; 0.00028506606; 0.99592173; 0.99312322
871.00000; 0.00028389678; 0.00028718026; 0.00028548730; 0.99442878; 0.98856651
872.00000; 0.00028336809; 0.00028734118; 0.00028501932; 0.99420660; 0.98617291
873.00000; 0.00028293647; 0.00028657554; 0.00028418789; 0.99559649; 0.98730151
874.00000; 0.00028264075; 0.00028535961; 0.00028349507; 0.99698645; 0.99047214
875.00000; 0.00028247077; 0.00028453290; 0.00028310767; 0.99775032; 0.99275258
876.00000; 0.00028221883; 0.00028452337; 0.00028274671; 0.99813302; 0.99190035
