wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.575 nm, FWHM =  6.327 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  0.575 nm, FWHM =  6.327 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
579.00000; 0.00047876112; 0.00047737876; 0.00048277898; 0.99167763; 1.0028957
580.00000; 0.00048089410; 0.00047935089; 0.00048330489; 0.99501185; 1.0032194
581.00000; 0.00048304983; 0.00048227829; 0.00048427919; 0.99746146; 1.0015998
582.00000; 0.00048483837; 0.00048470593; 0.00048501950; 0.99962655; 1.0002732
583.00000; 0.00048501950; 0.00048501950; 0.00048470689; 1.0006450; 1.0000000
584.00000; 0.00048310735; 0.00048229646; 0.00048270452; 1.0008345; 1.0016813
585.00000; 0.00047990299; 0.00047765932; 0.00047875983; 1.0023878; 1.0046972
586.00000; 0.00047405137; 0.00047296407; 0.00047309648; 1.0020184; 1.0022989
587.00000; 0.00046756809; 0.00046725588; 0.00046641723; 1.0024674; 1.0006682
588.00000; 0.00046018241; 0.00045873828; 0.00045982782; 1.0007711; 1.0031480
589.00000; 0.00045508778; 0.00045155894; 0.00045460362; 1.0010650; 1.0078148
590.00000; 0.00045155894; 0.00045197293; 0.00045175501; 0.99956598; 0.99908403
591.00000; 0.00045258834; 0.00045829985; 0.00045155894; 1.0022797; 0.98753763
592.00000; 0.00045476544; 0.00046404117; 0.00045343163; 1.0029416; 0.98001096
593.00000; 0.00045782233; 0.00046675319; 0.00045623315; 1.0034833; 0.98086599
594.00000; 0.00045937498; 0.00046765198; 0.00045877770; 1.0013019; 0.98230096
595.00000; 0.00046053628; 0.00046778910; 0.00046025903; 1.0006024; 0.98449553
596.00000; 0.00046110432; 0.00046726395; 0.00046034578; 1.0016478; 0.98681765
597.00000; 0.00046174031; 0.00046568801; 0.00045906874; 1.0058195; 0.99152288
598.00000; 0.00046238137; 0.00046303688; 0.00045669761; 1.0124454; 0.99858432
599.00000; 0.00046251903; 0.00045971090; 0.00045369128; 1.0194576; 1.0061085
